Total: 0.011s for 30 files
Average: 0.4ms per file
Max: 0.6ms single file

Per-file breakdown:
  document_000.txt: 0.5ms (ok)
  document_001.txt: 0.3ms (ok)
  document_002.txt: 0.4ms (ok)
  document_003.txt: 0.3ms (ok)
  document_004.txt: 0.3ms (ok)
  document_005.txt: 0.4ms (ok)
  document_006.txt: 0.3ms (ok)
  document_007.txt: 0.3ms (ok)
  document_008.txt: 0.4ms (ok)
  document_009.txt: 0.3ms (ok)
  document_010.txt: 0.4ms (ok)
  document_011.txt: 0.3ms (ok)
  document_012.txt: 0.3ms (ok)
  document_013.txt: 0.3ms (ok)
  document_014.txt: 0.5ms (ok)
  document_015.txt: 0.5ms (ok)
  document_016.txt: 0.3ms (ok)
  document_017.txt: 0.3ms (ok)
  document_018.txt: 0.3ms (ok)
  document_019.txt: 0.3ms (ok)
  document_020.txt: 0.4ms (ok)
  document_021.txt: 0.4ms (ok)
  document_022.txt: 0.4ms (ok)
  document_023.txt: 0.4ms (ok)
  document_024.txt: 0.4ms (ok)
  document_025.txt: 0.3ms (ok)
  document_026.txt: 0.3ms (ok)
  document_027.txt: 0.3ms (ok)
  document_028.txt: 0.6ms (ok)
  document_029.txt: 0.4ms (ok)
